iter	Logloss
0	0.6836776903
1	0.6756228458
2	0.6673763478
3	0.65991543
4	0.6526427728
5	0.6454082128
6	0.6392775282
7	0.6332128045
8	0.6272985672
9	0.62204352
10	0.6174721777
11	0.6129115635
12	0.6086313272
13	0.6044490172
14	0.6009819
15	0.5974149626
16	0.5941753935
17	0.5908110002
18	0.5880616919
19	0.585270123
20	0.58265698
21	0.5799012922
22	0.5775197373
23	0.5755270619
24	0.5737970132
25	0.5717556965
26	0.5700498247
27	0.5681269883
28	0.5660698497
29	0.5644669996
30	0.5628295707
31	0.561096149
32	0.5592144928
33	0.5578054941
34	0.5563423528
35	0.5549530707
36	0.5535740466
37	0.5522618462
38	0.5508555169
39	0.5495341291
40	0.548506551
41	0.5475139828
42	0.5462390618
43	0.5453452247
44	0.5442192207
45	0.5431540922
46	0.5423348847
47	0.5413221301
48	0.5405543045
49	0.5394436412
50	0.5387113601
51	0.5380548985
52	0.5372632642
53	0.5364347467
54	0.5357260826
55	0.5348582502
56	0.5339800081
57	0.5331663927
58	0.532493543
59	0.5317316788
60	0.5311044509
61	0.5304780584
62	0.5298960166
63	0.5293015687
64	0.5286326516
65	0.5281257332
66	0.5275317785
67	0.5269248345
68	0.5261422206
69	0.5255889245
70	0.525028808
71	0.524466467
72	0.5239120486
73	0.5233106576
74	0.5228100849
75	0.5223863686
76	0.5219491101
77	0.5215064626
78	0.5209935669
79	0.5204936989
80	0.5200035709
81	0.5195426164
82	0.5189646662
83	0.5186383323
84	0.5182183488
85	0.5177666529
86	0.5173561944
87	0.5169604266
88	0.5164828469
89	0.5160575178
90	0.5156420251
91	0.515202641
92	0.5146944077
93	0.5142357423
94	0.5139194606
95	0.5135772543
96	0.5131303429
97	0.5127229591
98	0.5123080373
99	0.5120143415
100	0.5116688761
101	0.5113174083
102	0.5107889242
103	0.5103262966
104	0.5100301303
105	0.5097238013
106	0.5093681027
107	0.5090761011
108	0.5088163705
109	0.5085043889
110	0.5082253834
111	0.5079331929
112	0.5075618257
113	0.5072489766
114	0.5070017221
115	0.5066336491
116	0.5063485078
117	0.5060496853
118	0.505776243
119	0.5054194088
120	0.5050900346
121	0.5048027472
122	0.5045525045
123	0.5042757584
124	0.5039748306
125	0.5037228833
126	0.5034460961
127	0.5030421095
128	0.5027364406
129	0.5023604851
130	0.5021193994
131	0.5017364551
132	0.501498545
133	0.5012317746
134	0.5009588821
135	0.5006219209
136	0.5004257269
137	0.5002387147
138	0.5000063078
139	0.4996693886
140	0.4994012352
141	0.4991736431
142	0.4989790985
143	0.4987984198
144	0.4984768138
145	0.4982607254
146	0.4979689977
147	0.4977171398
148	0.4974243119
149	0.4970680878
150	0.4967056232
151	0.4964889847
152	0.496241262
153	0.4959804497
154	0.4957743971
155	0.495586492
156	0.4953264906
157	0.4950848469
158	0.4948386285
159	0.4945889204
160	0.4943364633
161	0.4940420413
162	0.4938745298
163	0.4936076391
164	0.4934539248
165	0.4931669913
166	0.492987064
167	0.4928328858
168	0.4926598986
169	0.4924778301
170	0.4922851952
171	0.4921181458
172	0.4919421249
173	0.4917803484
174	0.4916237977
175	0.4913823226
176	0.4911509781
177	0.4909294375
178	0.4907652861
179	0.4905331874
180	0.4903413508
181	0.4901192567
182	0.4899684828
183	0.4898149834
184	0.4896613023
185	0.4894188952
186	0.4892317106
187	0.4890331611
188	0.4888749121
189	0.4887134823
190	0.4884809241
191	0.4882928727
192	0.4880794727
193	0.4878995049
194	0.4877332015
195	0.4875556227
196	0.4873750118
197	0.4871886676
198	0.4869887222
199	0.4868470677
200	0.4866375577
201	0.4865131678
202	0.4863218266
203	0.4861686385
204	0.4860026269
205	0.4858225343
206	0.4856580895
207	0.4854691015
208	0.4853141501
209	0.4851526081
210	0.4849656746
211	0.4848093995
212	0.4846832512
213	0.4844789247
214	0.4842984908
215	0.4841036957
216	0.4839514782
217	0.4838259962
218	0.4835591236
219	0.4834345995
220	0.4832731858
221	0.483093424
222	0.4829311908
223	0.4827750219
224	0.4826038117
225	0.4824216846
226	0.4822347655
227	0.4820577612
228	0.4819083696
229	0.4816935551
230	0.4815524223
231	0.4813418066
232	0.481085349
233	0.4809397914
234	0.4807664246
235	0.4805724319
236	0.4804131679
237	0.4802237851
238	0.4800682558
239	0.4798740057
240	0.4797069585
241	0.4795728822
242	0.4794343253
243	0.4792722584
244	0.4791067955
245	0.478954291
246	0.4788108692
247	0.4786910608
248	0.4784445415
249	0.4783412073
250	0.4781768081
251	0.4779117595
252	0.4778074675
253	0.4776669315
254	0.4775455643
255	0.4773797637
256	0.4772650732
257	0.4771112777
258	0.4769115305
259	0.4767818051
260	0.47659431
261	0.4764657244
262	0.4763028933
263	0.4761682478
264	0.4759955449
265	0.4758733084
266	0.4757806344
267	0.475652263
268	0.4754799176
269	0.4753389972
270	0.475161231
271	0.4750437803
272	0.4749065423
273	0.4747844407
274	0.4746145398
275	0.4744665678
276	0.4743119687
277	0.4741927895
278	0.4740752182
279	0.4738630898
280	0.4737249295
281	0.4736273845
282	0.4734896039
283	0.4733699462
284	0.4731802522
285	0.4730315841
286	0.4729055293
287	0.4726051719
288	0.4723790555
289	0.4721235367
290	0.4719982725
291	0.4718620032
292	0.4716793947
293	0.4714940495
294	0.4712722287
295	0.4711527357
296	0.4710323063
297	0.4708758936
298	0.4706794694
299	0.4705485718
300	0.4704229021
301	0.4702760494
302	0.4701563314
303	0.4700412798
304	0.4698668326
305	0.4697330239
306	0.4695974427
307	0.4694328941
308	0.4693035991
309	0.4691419918
310	0.4690138967
311	0.4688269125
312	0.4687245684
313	0.4685420076
314	0.4684168151
315	0.4682156466
316	0.4681061042
317	0.4679783504
318	0.4678703444
319	0.4677424391
320	0.4676094629
321	0.467430605
322	0.4672680889
323	0.4671063505
324	0.4669861506
325	0.4668699448
326	0.4666841662
327	0.4665577233
328	0.4664331594
329	0.4661506075
330	0.4660306569
331	0.4659201458
332	0.4657177038
333	0.4655911781
334	0.4653580345
335	0.4651942557
336	0.465051555
337	0.4649236565
338	0.4646403221
339	0.4644774404
340	0.4643113143
341	0.4641525977
342	0.4640039112
343	0.463863014
344	0.4636116689
345	0.4634319467
346	0.463285138
347	0.4631680238
348	0.4630371706
349	0.4629000605
350	0.4627640957
351	0.4625105769
352	0.4623885928
353	0.4622861115
354	0.4621302073
355	0.4619634105
356	0.4618142157
